name,pathway
Rab5,Endocytosis
Rab7,Endocytosis
Rab1,Secretory pathway
Rab9,Retrograde transport
Rab35,Endocytic recycling
LAMP1,Lysosome biogenesis
EEA1,Endocytosis
RILP,Endocytosis
SKIP,Vesicular transport
V-ATPase,Acidification
PI3P,Phosphoinositide signaling
Vps34,Phosphoinositide signaling
M6PR,Lysosome biogenesis
E-cadherin,Cell adhesion
Met receptor,Receptor signaling
CR3,Phagocytosis
Mannose receptor,Phagocytosis
ORP1L,Cholesterol metabolism
Arp2/3,Actin polymerization
Actin,Actin polymerization
N-WASP,Actin polymerization
Cdc42,Rho signaling
Rac1,Rho signaling
Kinesin-1,Vesicular transport
Nucleolin,—
Cholesterol,Lipid metabolism
Vacuolar membrane,—
Septin,Autophagy / cytoskeleton
LC3,Autophagy
Galectin-3,Membrane damage response
"PI(4,5)P2",Phosphoinositide signaling
"PI(3,5)P2",Phosphoinositide signaling
