gene,infected_1,infected_2,infected_3,control_1,control_2,control_3
Actin,406,399,380,73,61,61
Arp2/3,285,291,308,49,56,52
CR3,443,432,433,70,73,81
Cdc42,35,36,40,100,122,120
Cholesterol,171,178,159,53,47,59
E-cadherin,171,153,171,63,51,38
EEA1,17,28,15,138,125,115
Galectin-3,17,23,19,70,82,63
Kinesin-1,162,181,178,44,44,32
LAMP1,17,19,25,72,82,64
LC3,50,41,51,48,44,38
M6PR,52,39,41,49,45,56
Mannose receptor,56,61,53,67,57,62
Met receptor,17,28,19,23,17,22
N-WASP,23,34,24,20,19,21
Nucleolin,29,44,36,38,33,42
ORP1L,31,35,27,31,41,34
"PI(3,5)P2",68,58,59,60,63,56
"PI(4,5)P2",38,39,33,39,28,33
PI3P,26,19,37,27,26,21
