pathogen_name,effector_name,type,host_target,mechanism
Salmonella enterica,SopE,T3SS (SPI-1),Cdc42 / Rac1,GEF for host Rho-family GTPases
Salmonella enterica,SipA,T3SS (SPI-1),Actin,Binds/stabilizes actin filaments
Salmonella enterica,SopB/SigD,T3SS (SPI-1),"PI(4,5)P2",Phosphatidylinositol phosphatase
Salmonella enterica,SifA,T3SS (SPI-2),SKIP,Binds SKIP displacing Rab9
Salmonella enterica,PipB2,T3SS (SPI-2),Kinesin-1,Recruits kinesin-1 to SCV
Salmonella enterica,SseJ,T3SS (SPI-2),Cholesterol,Acyltransferase
Salmonella enterica,SopD2,T3SS (SPI-2),Rab7,Suppresses Rab7-dependent recruitment
Listeria monocytogenes,LLO,Toxin,Cholesterol,Pore-forming cytolysin
Listeria monocytogenes,ActA,Surface protein,Arp2/3,Mimics host WASP
Listeria monocytogenes,InlA,Invasin,E-cadherin,Triggers zipper-mediated entry
Listeria monocytogenes,InlB,Invasin,Met receptor,Triggers PI3K and Rac1 signaling
Listeria monocytogenes,PlcA,Phospholipase,"PI(4,5)P2",PI-PLC vacuolar escape
Listeria monocytogenes,PlcB,Phospholipase,Phosphatidylcholine,Broad-range phospholipase
Mycobacterium tuberculosis,LAM,Glycolipid,Vps34,Inhibits Ca2+ signaling
Mycobacterium tuberculosis,SapM,Secreted phosphatase,PI3P,Dephosphorylates PI3P
Mycobacterium tuberculosis,MptpA,Secreted phosphatase,V-ATPase,Blocks V-ATPase trafficking
Mycobacterium tuberculosis,MptpB,Secreted phosphatase,"PI(3,5)P2","Hydrolyzes PI(3,5)P2"
Mycobacterium tuberculosis,Eis,Secreted protein,JNK/AMPK,Acetyltransferase; inhibits autophagy
Mycobacterium tuberculosis,PknG,Ser/Thr kinase,Rab proteins,Phosphorylates host Rab GTPases
Mycobacterium tuberculosis,ESAT-6,T7SS (ESX-1),Membrane,Pore-forming; promotes phagosomal escape
Legionella pneumophila,DrrA/SidM,T4SS (Dot/Icm),Rab1,GEF and GDF for Rab1; AMPylates
Legionella pneumophila,AnkX,T4SS (Dot/Icm),Rab1 / Rab35,FIC domain phosphocholinase
Legionella pneumophila,Lem3,T4SS (Dot/Icm),Rab1,Dephosphocholinase
Legionella pneumophila,SidD,T4SS (Dot/Icm),Rab1,DeAMPylase
Legionella pneumophila,LidA,T4SS (Dot/Icm),Rab1,Binds/stabilizes active Rab1
Legionella pneumophila,SidC,T4SS (Dot/Icm),ER membranes,Recruits ER vesicles to LCV
Legionella pneumophila,VipD,T4SS (Dot/Icm),Endosomal Rab5/Rab22,Phospholipase A1; displaces from endosomes
Shigella flexneri,IpaB,T3SS (translocon),Vacuolar membrane,Pore-forming translocator
