name,species,gram_stain,strategy,description,reference
Salmonella enterica,Salmonella enterica serovar Typhimurium,Gram-negative,modified_compartment,"Resides in SCV; acquires LAMP1 but blocks hydrolase delivery; maintains non-degradative niche via SPI-2 T3SS effectors. SifA binds SKIP to displace Rab9, while SseJ deacylates cholesterol to prevent SCV-lysosome fusion. SCV matures into a LAMP1+ compartment that is non-degradative — Rab7 effectors (RILP, ORP1L) are decoupled from hydrolase delivery",10.1016/j.tim.2019.01.007
Listeria monocytogenes,Listeria monocytogenes,Gram-positive,escape,Phagosomal escape via LLO within ~30 min; replicates in cytosol; uses ActA for actin-based motility. LLO is pH-dependent: forms pores at acidic pH of early phagosomes but is inactivated at neutral cytosolic pH. ActA nucleates Arp2/3-dependent branched actin networks for cytoplasmic motility and cell-to-cell spread via double-membrane protrusions,10.1038/s41579-018-0106-8
Mycobacterium tuberculosis,Mycobacterium tuberculosis,Acid-fast,arrest,"Arrests phagosome at early stage; blocks Rab5-to-Rab7 conversion; maintains near-neutral pH (~6.4) by excluding V-ATPase. Secretes SapM phosphatase to deplete PI3P from phagosomal membranes, and lipoarabinomannan (LAM) inhibits Ca2+ signaling and Vps34 recruitment. PknG and PtpA further modulate host Rab trafficking to prevent lysosomal fusion",10.1038/s41579-019-0216-y
Legionella pneumophila,Legionella pneumophila,Gram-negative,reroute,"Redirects ER-derived vesicles to build LCV; bypasses endocytic pathway entirely via Dot/Icm T4SS. DrrA/SidM is a Rab1 GEF that activates Rab1 on the LCV, redirecting COPII vesicle traffic from ER to the pathogen vacuole. AnkX phosphocholinates Rab35 and Rab1, locking them in an inactive state — a post-translational block distinct from host regulation",10.1038/s41579-018-0126-4
Shigella flexneri,Shigella flexneri,Gram-negative,escape,"Rapid phagosome lysis (<15 min) via IpaB pore; escapes to cytosol before early markers fully acquired. IpaB inserts into the phagosomal membrane and oligomerizes to form a translocation pore. In the cytosol, IcsB masks IcsA from the autophagy receptor LC3 to evade xenophagy. Uses IcsA/VirG to recruit N-WASP and Arp2/3 for actin-based motility",10.1038/s41579-019-0190-4
Brucella abortus,Brucella abortus,Gram-negative,modified_compartment,"Resides in Brucella-containing vacuole (BCV) that interacts with ER; avoids lysosomal fusion via VirB T4SS. BtpA and BtpB are TIR-domain containing effectors that inhibit TLR2 signaling and MyD88 adaptor function. VceC activates the unfolded protein response, creating a replicative niche that balances ER stress signaling with survival",10.1038/s41579-019-0188-y
Francisella tularensis,Francisella tularensis,Gram-negative,escape,"Escapes phagosome within 30-60 min via acid-dependent mechanism; replicates in cytosol. IglC and IglD are essential T6SS components that mediate phagosomal disruption. Once cytosolic, Francisella evades autophagy detection by modifying its LPS structure and subverts host interferon responses through MglA-mediated virulence gene regulation",10.3389/fcimb.2018.00123
Coxiella burnetii,Coxiella burnetii,Gram-negative,modified_compartment,"Resides in acidified Coxiella-containing vacuole (CCV) that fuses with lysosomes; requires acidic pH for replication — uniquely thrives in phagolysosomes. Cig57 subverts clathrin-mediated trafficking, while CvpB binds PI3P and Rab5 for CCV biogenesis. CirA and CirB intercept HOPS and exocyst tethering complexes for CCV expansion",10.1038/s41579-019-0191-3
Yersinia pestis,Yersinia pestis,Gram-negative,extracellular,"Extracellular pathogen that resists phagocytosis via Yop T3SS effectors; blocks phagocytic uptake. YopH dephosphorylates FAK and p130Cas to disrupt focal adhesions, while YopJ acetylates MAPKK and IKK to block NF-kB and MAPK signaling. YopE acts as a GAP for RhoA, Rac1, and Cdc42 to paralyze actin dynamics",10.1038/s41579-017-0020-8
Yersinia pseudotuberculosis,Yersinia pseudotuberculosis,Gram-negative,extracellular,"Extracellular pathogen; injects Yop effectors via T3SS to disrupt actin and block phagocytosis. Shares core Yop arsenal with Y. pestis including YopE (RhoGAP), YopH (PTPase), and YopJ (MAPKK acetyltransferase). YpkA/YopO binds actin and RhoA to further disrupt the cytoskeleton in infected cells",10.1111/j.1365-2958.2012.08077.x
