stage_name,host_protein_name,presence
Pre-phagocytosis,Rab5,0
Pre-phagocytosis,Rab7,0
Pre-phagocytosis,EEA1,0
Pre-phagocytosis,PI3P,0
Pre-phagocytosis,LAMP1,0
Pre-phagocytosis,V-ATPase,0
Pre-phagocytosis,RILP,0
Pre-phagocytosis,"PI(4,5)P2",1
Phagosome formation,Rab5,0
Phagosome formation,Rab7,0
Phagosome formation,EEA1,0
Phagosome formation,PI3P,0
Phagosome formation,LAMP1,0
Phagosome formation,V-ATPase,0
Phagosome formation,RILP,0
Phagosome formation,"PI(4,5)P2",1
Phagosome formation,Actin,1
Early phagosome,Rab5,1
Early phagosome,Rab7,0
Early phagosome,EEA1,1
Early phagosome,PI3P,1
Early phagosome,LAMP1,0
Early phagosome,V-ATPase,0
Early phagosome,RILP,0
Early phagosome,Vps34,1
Late phagosome,Rab5,0
Late phagosome,Rab7,1
Late phagosome,EEA1,0
Late phagosome,PI3P,0
Late phagosome,LAMP1,1
Late phagosome,V-ATPase,1
Late phagosome,RILP,1
Late phagosome,M6PR,1
Phagolysosome,Rab5,0
Phagolysosome,Rab7,1
Phagolysosome,EEA1,0
Phagolysosome,PI3P,0
Phagolysosome,LAMP1,1
Phagolysosome,V-ATPase,1
Phagolysosome,RILP,1
Phagolysosome,M6PR,0
