pathogen_name,effector_name,host_protein_name,interaction_type
Salmonella enterica,SopE,Cdc42,GEF
Salmonella enterica,SopE,Rac1,GEF
Salmonella enterica,SipA,Actin,binds/stabilizes
Salmonella enterica,SopB/SigD,"PI(4,5)P2",dephosphorylates
Salmonella enterica,SifA,SKIP,binds
Salmonella enterica,PipB2,Kinesin-1,recruits
Salmonella enterica,SseJ,Cholesterol,acyltransferase
Salmonella enterica,SopD2,Rab7,inhibits
Listeria monocytogenes,LLO,Cholesterol,pore-forming
Listeria monocytogenes,ActA,Arp2/3,activates
Listeria monocytogenes,InlA,E-cadherin,binds
Listeria monocytogenes,InlB,Met receptor,activates
Listeria monocytogenes,PlcA,"PI(4,5)P2",hydrolyzes
Listeria monocytogenes,PlcB,Sphingomyelin,hydrolyzes
Mycobacterium tuberculosis,LAM,Vps34,inhibits
Mycobacterium tuberculosis,SapM,PI3P,dephosphorylates
Mycobacterium tuberculosis,MptpA,V-ATPase,blocks
Mycobacterium tuberculosis,MptpB,"PI(3,5)P2",hydrolyzes
Mycobacterium tuberculosis,Eis,Host signaling,acetylates
Mycobacterium tuberculosis,PknG,Host signaling,phosphorylates
Legionella pneumophila,DrrA/SidM,Rab1,GEF
Legionella pneumophila,AnkX,Rab1,phosphocholinates
Legionella pneumophila,AnkX,Rab35,phosphocholinates
Legionella pneumophila,Lem3,Rab1,dephosphocholinates
Legionella pneumophila,SidD,Rab1,deAMPylates
Legionella pneumophila,LidA,Rab1,binds/stabilizes
Legionella pneumophila,SidC,ER membrane,recruits
Legionella pneumophila,VipD,Host membranes,phospholipase
Shigella flexneri,IpaB,Host membranes,pore-forming
Shigella flexneri,IpaC,Actin,nucleates
Shigella flexneri,IcsA/VirG,N-WASP,recruits
Shigella flexneri,IcsB,LC3,masks
Shigella flexneri,VirA,Rab1,GAP
Shigella flexneri,OspG,Host signaling,inhibits
Brucella abortus,VirB,ER membrane,modulates
Brucella abortus,BtpA,TLR2,inhibits
Brucella abortus,BtpB,Host signaling,inhibits
Brucella abortus,VceA,Golgi,modulates
Brucella abortus,VceC,ER membrane,activates
Francisella tularensis,IglC,Host membranes,disrupts
Francisella tularensis,IglD,Host membranes,disrupts
Coxiella burnetii,Cig57,Host membranes,recruits
Coxiella burnetii,Cig2,Rab1,binds
Coxiella burnetii,CvpB,PI3P,binds
Yersinia pestis,YopE,RhoA,GAP
Yersinia pestis,YopE,Rac1,GAP
Yersinia pestis,YopE,Cdc42,GAP
Yersinia pestis,YopH,FAK,dephosphorylates
Yersinia pestis,YopH,p130Cas,dephosphorylates
Yersinia pestis,YopJ,MAPKK,acetylates
Yersinia pestis,YopJ,IKK,acetylates
Yersinia pseudotuberculosis,YopE,RhoA,GAP
Yersinia pseudotuberculosis,YopE,Rac1,GAP
Yersinia pseudotuberculosis,YopH,FAK,dephosphorylates
Yersinia pseudotuberculosis,YopJ,MAPKK,acetylates
Yersinia pseudotuberculosis,YpkA/YopO,Actin,binds
Chlamydia trachomatis,IncA,LAMP1,blocks fusion
Chlamydia trachomatis,IncB,Rab4,recruits
Chlamydia trachomatis,IncC,Golgi,recruits
Chlamydia trachomatis,CT229,Host signaling,modifies
Staphylococcus aureus,Hla,ADAM10,binds
Staphylococcus aureus,PVL,C5aR,binds
Staphylococcus aureus,SpA,MHC II,binds
Staphylococcus aureus,Efb,Fibrinogen,binds
Streptococcus pyogenes,SLO,Cholesterol,pore-forming
Streptococcus pyogenes,M protein,Factor H,binds
Streptococcus pyogenes,M protein,C4BP,binds
Streptococcus pyogenes,SpeA,MHC II,superantigen
Streptococcus pneumoniae,PLY,Cholesterol,pore-forming
Streptococcus pneumoniae,PspA,Lactoferrin,binds
Streptococcus pneumoniae,PspC,Factor H,binds
Bacillus anthracis,ALO,Cholesterol,pore-forming
Bacillus anthracis,LF,MAPKK,cleaves
Bacillus anthracis,EF,CaM,binds
Bacillus anthracis,PA,Host cells,binds
Clostridium perfringens,PFO,Cholesterol,pore-forming
Clostridium difficile,TcdA,RhoA,glucosylates
Clostridium difficile,TcdB,RhoA,glucosylates
